iter	Passed	Remaining
421	2367	3243
422	2373	3237
423	2379	3232
424	2384	3226
425	2390	3221
426	2396	3216
427	2403	3211
428	2408	3206
429	2414	3201
430	2420	3195
431	2426	3189
432	2432	3184
433	2438	3179
434	2445	3176
435	2451	3171
436	2457	3166
437	2463	3160
438	2468	3154
439	2474	3149
440	2481	3145
441	2487	3140
442	2493	3134
443	2499	3129
444	2504	3124
445	2510	3118
446	2516	3113
447	2523	3108
448	2528	3103
449	2534	3097
450	2540	3092
451	2546	3086
452	2551	3081
453	2557	3075
454	2563	3069
455	2568	3064
456	2574	3058
457	2579	3052
458	2585	3046
459	2590	3041
460	2597	3036
461	2603	3031
462	2608	3025
463	2613	3019
464	2618	3013
465	2624	3007
466	2630	3002
467	2636	2996
468	2641	2990
469	2647	2984
470	2652	2979
471	2658	2973
472	2663	2968
473	2669	2962
474	2674	2956
475	2680	2950
476	2686	2945
477	2692	2940
478	2698	2934
479	2704	2929
480	2710	2924
481	2716	2919
482	2722	2914
483	2728	2909
484	2734	2903
485	2740	2898
486	2746	2892
487	2751	2886
488	2757	2881
489	2763	2875
490	2769	2870
491	2774	2865
492	2781	2860
493	2787	2855
494	2793	2850
495	2799	2845
496	2805	2839
497	2812	2834
498	2817	2828
499	2823	2823
500	2829	2817
501	2834	2812
502	2841	2807
503	2847	2802
504	2854	2797
505	2860	2793
506	2867	2788
507	2874	2783
508	2880	2778
509	2886	2773
510	2893	2769
511	2899	2763
512	2905	2758
513	2911	2752
514	2916	2746
515	2923	2741
516	2929	2736
517	2934	2730
518	2941	2725
519	2947	2720
520	2953	2715
521	2959	2709
522	2965	2704
523	2971	2699
524	2980	2696
525	2986	2691
526	2993	2686
527	2998	2680
528	3004	2674
529	3010	2669
530	3016	2664
531	3021	2658
532	3027	2652
533	3033	2646
534	3039	2641
535	3045	2636
536	3051	2631
537	3058	2626
538	3064	2620
539	3070	2615
540	3076	2610
541	3083	2605
542	3089	2600
543	3096	2595
544	3103	2590
545	3109	2585
546	3116	2580
547	3122	2575
548	3128	2570
549	3134	2564
550	3140	2559
551	3147	2554
552	3154	2549
553	3160	2544
554	3166	2538
555	3171	2532
556	3184	2533
557	3191	2527
558	3197	2522
559	3203	2516
560	3209	2511
561	3215	2505
562	3221	2500
563	3227	2495
564	3233	2489
565	3240	2484
566	3247	2479
567	3253	2474
568	3259	2468
569	3265	2463
570	3272	2458
571	3278	2453
572	3284	2447
573	3291	2443
574	3297	2437
575	3304	2432
576	3309	2426
577	3315	2420
578	3321	2415
579	3327	2409
580	3333	2403
581	3339	2398
582	3344	2392
583	3350	2386
584	3357	2381
585	3363	2376
586	3369	2370
587	3375	2365
588	3380	2359
589	3386	2353
590	3392	2347
591	3397	2341
592	3403	2335
593	3411	2331
594	3418	2326
595	3426	2322
596	3433	2317
597	3440	2312
598	3447	2307
599	3454	2303
600	3462	2298
601	3471	2294
602	3478	2290
603	3485	2285
604	3492	2279
605	3499	2275
606	3504	2269
607	3511	2264
608	3517	2258
609	3524	2253
610	3530	2247
611	3535	2241
612	3542	2236
613	3549	2231
614	3558	2227
615	3565	2222
616	3572	2217
617	3580	2213
618	3587	2207
619	3596	2204
620	3602	2198
621	3609	2193
622	3615	2187
623	3620	2181
624	3627	2176
625	3633	2171
626	3639	2165
627	3645	2159
628	3651	2153
629	3658	2148
630	3664	2142
631	3670	2136
632	3675	2131
633	3682	2125
634	3688	2120
635	3695	2114
636	3700	2108
637	3706	2102
638	3711	2096
639	3716	2090
640	3722	2084
641	3727	2078
642	3733	2073
643	3746	2070
644	3751	2064
645	3757	2059
646	3762	2052
647	3767	2046
648	3772	2040
649	3777	2034
650	3783	2028
651	3788	2022
652	3794	2016
653	3799	2010
654	3805	2004
655	3811	1998
656	3816	1992
657	3820	1985
658	3826	1980
659	3832	1974
660	3837	1968
661	3843	1962
662	3848	1956
663	3854	1950
664	3860	1944
665	3866	1939
666	3872	1933
667	3878	1927
668	3883	1921
669	3889	1915
670	3895	1910
671	3901	1904
672	3906	1898
673	3912	1892
674	3917	1886
675	3923	1880
676	3927	1873
677	3933	1867
678	3939	1862
679	3945	1856
680	3950	1850
681	3955	1844
682	3961	1838
683	3967	1832
684	3973	1827
685	3978	1821
686	3984	1815
687	3989	1809
688	3995	1803
689	4000	1797
690	4006	1791
691	4011	1785
692	4017	1779
693	4022	1773
694	4028	1767
695	4034	1762
696	4039	1756
697	4045	1750
698	4051	1744
699	4056	1738
700	4061	1732
701	4067	1726
702	4072	1720
703	4077	1714
704	4083	1708
705	4088	1702
706	4094	1696
707	4099	1690
708	4105	1684
709	4110	1678
710	4115	1672
711	4120	1666
712	4125	1660
713	4131	1654
714	4136	1648
715	4142	1643
716	4146	1636
717	4151	1630
718	4156	1624
719	4162	1618
720	4167	1612
721	4173	1606
722	4179	1601
723	4184	1595
724	4189	1589
725	4195	1583
726	4200	1577
727	4209	1572
728	4215	1567
729	4221	1561
730	4226	1555
731	4231	1549
732	4237	1543
733	4242	1537
734	4248	1531
735	4253	1525
736	4258	1519
737	4264	1514
738	4270	1508
739	4275	1502
740	4280	1496
741	4286	1490
742	4292	1484
743	4297	1478
744	4302	1472
745	4308	1467
746	4314	1461
747	4319	1455
748	4325	1449
749	4330	1443
750	4335	1437
751	4341	1431
752	4346	1425
753	4352	1420
754	4358	1414
755	4363	1408
756	4369	1402
757	4375	1396
758	4381	1391
759	4387	1385
760	4392	1379
761	4398	1373
762	4403	1367
763	4409	1361
764	4414	1356
765	4421	1350
766	4426	1344
767	4432	1338
768	4438	1333
769	4443	1327
770	4449	1321
771	4454	1315
772	4460	1309
773	4465	1303
774	4470	1297
775	4476	1292
776	4482	1286
777	4487	1280
778	4492	1274
779	4498	1268
780	4504	1262
781	4510	1257
782	4515	1251
783	4521	1245
784	4526	1239
785	4531	1233
786	4537	1228
787	4542	1222
788	4548	1216
789	4553	1210
790	4558	1204
791	4564	1198
792	4569	1192
793	4575	1186
794	4580	1181
795	4585	1175
796	4591	1169
797	4596	1163
798	4601	1157
799	4606	1151
800	4612	1145
801	4617	1139
802	4622	1134
803	4628	1128
804	4633	1122
805	4638	1116
806	4644	1110
807	4649	1104
808	4654	1098
809	4660	1093
810	4665	1087
811	4670	1081
812	4676	1075
813	4681	1069
814	4686	1063
815	4691	1057
816	4697	1052
817	4702	1046
818	4707	1040
819	4713	1034
820	4718	1028
821	4729	1024
822	4734	1018
823	4740	1012
824	4745	1006
825	4750	1000
826	4755	994
827	4761	989
828	4766	983
829	4771	977
830	4776	971
831	4781	965
832	4787	959
833	4792	953
834	4797	947
835	4802	942
836	4807	936
837	4813	930
838	4818	924
839	4823	918
840	4828	912
841	4834	907
842	4839	901
843	4844	895
844	4850	889
845	4857	884
846	4864	878
847	4870	873
848	4875	867
849	4880	861
850	4886	855
851	4892	849
852	4897	844
853	4903	838
854	4909	832
855	4914	826
856	4920	821
857	4926	815
858	4931	809
859	4937	803
860	4942	797
861	4947	792
862	4953	786
863	4958	780
864	4964	774
865	4970	769
866	4975	763
867	4981	757
868	4986	751
869	4991	745
870	4997	740
871	5002	734
872	5008	728
873	5013	722
874	5019	717
875	5024	711
876	5030	705
877	5035	699
878	5041	693
879	5046	688
880	5054	682
881	5060	676
882	5065	671
883	5070	665
884	5076	659
885	5083	654
886	5089	648
887	5095	642
888	5101	637
889	5108	631
890	5114	625
891	5120	619
892	5126	614
893	5132	608
894	5138	602
895	5144	597
896	5150	591
897	5156	585
898	5162	580
899	5168	574
900	5174	568
901	5180	562
902	5186	557
903	5191	551
904	5197	545
905	5203	539
906	5208	534
907	5214	528
908	5220	522
909	5226	516
910	5231	511
911	5238	505
912	5243	499
913	5249	493
914	5255	488
915	5260	482
916	5266	476
917	5272	470
918	5278	465
919	5284	459
920	5289	453
921	5295	447
922	5301	442
923	5307	436
924	5312	430
925	5318	425
926	5323	419
927	5329	413
928	5335	407
929	5342	402
930	5348	396
931	5354	390
932	5360	384
933	5366	379
934	5372	373
935	5378	367
936	5383	361
937	5389	356
938	5394	350
939	5400	344
940	5406	339
941	5412	333
942	5418	327
943	5424	321
944	5430	316
945	5436	310
946	5441	304
947	5448	298
948	5453	293
949	5459	287
950	5464	281
951	5470	275
952	5476	270
953	5481	264
954	5487	258
955	5493	252
956	5498	247
957	5504	241
958	5519	235
959	5526	230
960	5532	224
961	5538	218
962	5544	213
963	5549	207
964	5555	201
965	5561	195
966	5566	189
967	5572	184
968	5578	178
969	5583	172
970	5589	166
971	5595	161
972	5601	155
973	5606	149
974	5612	143
975	5617	138
976	5623	132
977	5628	126
978	5634	120
979	5639	115
980	5645	109
981	5650	103
982	5656	97
983	5661	92
984	5667	86
985	5672	80
986	5677	74
987	5683	69
988	5688	63
989	5694	57
990	5699	51
991	5704	46
992	5710	40
993	5715	34
994	5721	28
995	5726	22
996	5731	17
997	5736	11
998	5742	5
999	5747	0
